Dest,ArrDelay,Cancelled,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,TotalFlights,Year,Month,"(-inf, 0.0]","(0.0, 60.0]","(60.0, 120.0]","(120.0, 180.0]","(180.0, 240.0]","(240.0, 300.0]","(300.0, inf]"
PIA,700.0,1.0,1.0,649.0,85.0,646.0,0.0,1191.0,250,2016,1,164.0,70.0,10.0,2.0,1.0,,1.0
PLN,45.0,3.0,1.0,152.0,0.0,220.0,0.0,107.0,54,2016,1,31.0,17.0,1.0,,1.0,,
RST,859.0,1.0,0.0,665.0,0.0,69.0,0.0,433.0,78,2016,1,43.0,28.0,5.0,,,,1.0
SBP,671.0,19.0,1.0,617.0,0.0,240.0,0.0,1477.0,221,2016,1,143.0,42.0,15.0,,,,1.0
SGU,1047.0,0.0,0.0,586.0,0.0,406.0,0.0,459.0,153,2016,1,76.0,69.0,5.0,3.0,,,
SUN,258.0,2.0,42.0,425.0,0.0,233.0,0.0,324.0,118,2016,1,54.0,14.0,3.0,2.0,1.0,,
TVC,1194.0,0.0,1.0,465.0,299.0,219.0,0.0,632.0,94,2016,1,50.0,32.0,8.0,1.0,2.0,,
TWF,445.0,1.0,0.0,73.0,140.0,236.0,0.0,44.0,86,2016,1,43.0,40.0,1.0,1.0,,,
AZO,1717.0,3.0,2.0,1557.0,932.0,363.0,0.0,845.0,207,2016,1,137.0,51.0,8.0,3.0,1.0,,2.0
RDM,870.0,7.0,2.0,771.0,38.0,224.0,0.0,1218.0,183,2016,1,118.0,41.0,9.0,5.0,,1.0,
CLL,-170.0,1.0,0.0,302.0,0.0,11.0,0.0,56.0,55,2016,1,45.0,7.0,,2.0,,,
CMX,997.0,6.0,3.0,702.0,202.0,172.0,0.0,220.0,63,2016,1,27.0,20.0,3.0,2.0,1.0,,1.0
COD,434.0,0.0,0.0,324.0,0.0,108.0,0.0,161.0,33,2016,1,21.0,7.0,4.0,1.0,,,
DVL,423.0,3.0,1.0,413.0,0.0,99.0,0.0,293.0,48,2016,1,25.0,15.0,1.0,1.0,2.0,,
EAU,295.0,0.0,0.0,293.0,0.0,153.0,0.0,235.0,62,2016,1,33.0,26.0,1.0,2.0,,,
GCC,-721.0,0.0,0.0,103.0,0.0,103.0,0.0,124.0,88,2016,1,73.0,12.0,3.0,,,,
JMS,231.0,4.0,2.0,225.0,24.0,116.0,0.0,274.0,74,2016,1,43.0,23.0,,1.0,1.0,,
MKG,732.0,3.0,0.0,641.0,0.0,183.0,0.0,307.0,62,2016,1,34.0,18.0,3.0,4.0,,,
PAH,858.0,3.0,0.0,520.0,17.0,80.0,0.0,632.0,62,2016,1,37.0,12.0,8.0,,2.0,,
ABR,-387.0,0.0,0.0,0.0,0.0,9.0,0.0,121.0,62,2016,1,44.0,17.0,1.0,,,,
APN,554.0,4.0,1.0,124.0,203.0,153.0,0.0,446.0,52,2016,1,31.0,9.0,5.0,1.0,1.0,,
BGM,1301.0,0.0,0.0,795.0,66.0,314.0,0.0,575.0,76,2016,1,45.0,21.0,6.0,2.0,1.0,,1.0
CIU,411.0,2.0,1.0,308.0,0.0,112.0,0.0,626.0,58,2016,1,39.0,7.0,6.0,2.0,1.0,,
GUM,48.0,0.0,0.0,149.0,0.0,12.0,0.0,42.0,31,2016,1,16.0,15.0,,,,,
HIB,1731.0,2.0,2.0,1539.0,0.0,295.0,0.0,182.0,83,2016,1,41.0,34.0,1.0,,1.0,1.0,1.0
IMT,164.0,2.0,1.0,49.0,0.0,105.0,0.0,545.0,57,2016,1,34.0,18.0,1.0,,,,1.0
INL,408.0,0.0,1.0,272.0,0.0,159.0,0.0,350.0,54,2016,1,28.0,22.0,1.0,,1.0,1.0,
ITH,69.0,0.0,0.0,38.0,0.0,287.0,0.0,260.0,59,2016,1,37.0,19.0,2.0,,1.0,,
LWS,-615.0,0.0,0.0,37.0,0.0,55.0,0.0,0.0,55,2016,1,45.0,10.0,,,,,
MQT,632.0,3.0,3.0,250.0,0.0,166.0,0.0,613.0,55,2016,1,30.0,15.0,1.0,1.0,,2.0,
PIH,386.0,1.0,0.0,116.0,0.0,205.0,0.0,89.0,56,2016,1,25.0,28.0,2.0,,,,
RHI,-104.0,2.0,0.0,150.0,44.0,208.0,0.0,198.0,88,2016,1,59.0,25.0,1.0,1.0,,,
BJI,524.0,0.0,0.0,452.0,0.0,82.0,0.0,293.0,62,2016,1,35.0,21.0,4.0,1.0,1.0,,
BRD,96.0,0.0,0.0,287.0,0.0,129.0,0.0,80.0,52,2016,1,35.0,14.0,1.0,2.0,,,
BTM,845.0,0.0,1.0,15.0,936.0,137.0,0.0,7.0,58,2016,1,36.0,20.0,,,,,1.0
CDC,491.0,0.0,0.0,18.0,28.0,330.0,0.0,40.0,51,2016,1,19.0,32.0,,,,,
ESC,118.0,1.0,0.0,429.0,0.0,62.0,0.0,263.0,52,2016,1,38.0,7.0,3.0,3.0,,,
HYS,226.0,1.0,1.0,257.0,0.0,108.0,0.0,76.0,52,2016,1,31.0,18.0,,,1.0,,
